NPC_ID,State,order,key,AnswerCheck,Dialogue_Kor,Dialogue_Eng
1,1,0,110,0,남자를 위로해주자. “괜찮으십니까”,
1,1,1,111,1," “단 한명만이 닻을 풀어 익사했다.""",
1,1,2,112,2,남자에게 말을 걸어선 안된다. 어서 도망치자.,
1,1,3,113,3, “위대한 빨간 등대를 부수자”,
1,2,0,120,0,남자가 든 스카프를 가지고 와 불태운다.,
1,2,1,121,1,“스카프는 붉은 등대에 물들었다.”,
1,2,2,122,2,스카프를 다시 그의 목에 매준다.,
1,3,0,130,0,그에게 다가간다.,
1,3,1,131,1,도망쳐,
1,3,2,132,2,도망칠거야? 도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐,
2,1,0,210,0,기다린다,
2,1,1,211,1,도슨트에게 말을 건다,
2,1,2,212,2,무시한다. 나만의 길을 간다,
2,2,0,220,0,불태워죽인다,
2,2,1,221,1,찔러죽인다,
2,2,2,222,2,삶아죽인다,
2,2,3,223,3,튀겨죽인다,
2,2,4,224,4,살아줘,